groupID,n_PAS,n_sig,n_big,min_padj,max_absL2FC,mean_absL2FC,dir_consensus,perGeneQ
DMAC1,4,1,0,6.28062597747185e-05,0.132178988185993,0.132178988185993,Decreased_only,6.28062594522638e-05
LASP1,2,1,0,6.28062597747185e-05,0.017616545826554,0.017616545826554,Decreased_only,8.9044261517901e-05
HBEGF,2,1,0,0.000136357945922319,0.14767419373117,0.14767419373117,Decreased_only,0.000136357936893724
LIFR,3,2,0,0.000136357945922319,0.255058145433262,0.253284419273116,Increased_only,0.000149755589606126
ACBD5,3,1,0,0.000136357945922319,0.0722369761720909,0.0722369761720909,Increased_only,0.000167537167531558
PCNX4,5,1,1,0.000136357945922319,0.628942192981703,0.628942192981703,Increased_only,0.000179024449829535
DKC1,2,2,0,0.000235272623281388,0.426138006662556,0.294670929085171,Mixed,0.000235272587309779
SLC35D2,2,1,0,0.000235272623281388,0.00380082543013494,0.00380082543013494,Increased_only,0.000258165058427811
CAPN1,2,1,0,0.000307276498620237,0.128755618288332,0.128755618288332,Increased_only,0.000307276429396948
SH3BP2,3,1,0,0.000332689285350577,0.295515651869469,0.295515651869469,Increased_only,0.000332689195315372
FNBP1L,2,2,1,0.000362248191070871,0.613435058405454,0.441092555132289,Mixed,0.000362248052275309
NBEA,2,2,1,0.000362248191070871,0.515326922096718,0.452864495530056,Mixed,0.000365766214250107
CENPS-CORT,2,2,2,0.000362248191070871,3.84869640106246,2.57234763166555,Mixed,0.000370077320108094
TMEM254,2,2,0,0.000417359866312826,0.397803261778614,0.336096937087339,Mixed,0.000417359653636962
COX7B,2,1,0,0.000417359866312826,0.00751959397177515,0.00751959397177515,Increased_only,0.000438682920603149
SH3BP1,2,2,1,0.000548672842934031,0.598875308297109,0.496860571900411,Mixed,0.00054867242641097
HMGXB4,2,1,0,0.000548672842934031,0.442569146852112,0.442569146852112,Decreased_only,0.000550865807446663
LAPTM4A,2,1,0,0.000622384003520623,0.108148561695099,0.108148561695099,Decreased_only,0.000622383404469985
GATB,2,1,0,0.000622384003520623,0.131187280821474,0.131187280821474,Increased_only,0.000641455844846465
EMC4,2,1,0,0.000715354869539223,0.270131532938148,0.270131532938148,Decreased_only,0.000715354036557175
AKIRIN2,4,1,0,0.000781019664317755,0.358115174900767,0.358115174900767,Decreased_only,0.000781018572048739
TRMT10C,3,2,0,0.000781019664317755,0.197857777790194,0.128270943064594,Increased_only,0.000804005098649033
EIF3E,2,1,0,0.000889643786700279,0.0391546896544206,0.0391546896544206,Increased_only,0.000889642240683622
NUP37,2,2,0,0.000889643786700279,0.36516231540403,0.275403764484552,Mixed,0.000893243544777595
SLC39A6,2,1,0,0.00103071581467584,0.195452175130351,0.195452175130351,Decreased_only,0.00103071365305713
RPL4,4,2,1,0.00104455935675644,0.596057154555099,0.343141803500553,Mixed,0.00104455704786893
CHCHD4,2,1,0,0.00111092932068582,0.00789665939289641,0.00789665939289641,Decreased_only,0.00111092660860634
ZNF746,2,1,0,0.00126863258214701,0.165670527925299,0.165670527925299,Decreased_only,0.00126862865248375
DAP,2,2,0,0.00126863258214701,0.0761818591868497,0.0519164858074515,Mixed,0.0012779699514999
ST6GALNAC6,2,1,1,0.00126863258214701,0.557814563041219,0.557814563041219,Increased_only,0.0013043160066888
ZNF324,2,2,2,0.00179200016258683,2.03925063849772,1.78919027528359,Mixed,0.00179199153772474
VDAC3,3,1,0,0.00179200016258683,0.0464341947518232,0.0464341947518232,Increased_only,0.00182690868095568
ZNF557,3,1,1,0.00179200016258683,0.62412130193523,0.62412130193523,Decreased_only,0.00182965677752915
GNB5,4,1,0,0.00185704408075811,0.160581430357823,0.160581430357823,Increased_only,0.00185703425705152
MSX1,3,2,2,0.00185704408075811,0.918974855314191,0.889502964802815,Mixed,0.00185819137823266
RTF2,2,1,1,0.0019761974021618,0.52307338939996,0.52307338939996,Decreased_only,0.00197618564172022
RPL7A,2,1,0,0.0019761974021618,0.486364410494964,0.486364410494964,Increased_only,0.00197982903374441
SNX21,3,1,1,0.00204794825184084,1.16919506467861,1.16919506467861,Increased_only,0.00210044574140693
HSPD1,2,2,0,0.00204794825184084,0.267172850657434,0.188582730083143,Mixed,0.0021279045648441
CHMP7,2,1,0,0.00260955091014394,0.0590589385465528,0.0590589385465528,Decreased_only,0.00267476639127761
TMUB2,3,1,1,0.00265133325449839,0.713742888588848,0.713742888588848,Increased_only,0.00271597530399802
CRYZL1,5,1,1,0.00283989480822173,1.00155145587262,1.00155145587262,Increased_only,0.00296608013364915
ZNF703,3,1,0,0.00283281234702806,0.268221396808508,0.268221396808508,Increased_only,0.00296767806716664
FAM136A,2,2,1,0.00283989480822173,0.822083229996712,0.643657858121188,Mixed,0.00299883983513071
ANGPT1,2,1,0,0.00283989480822173,0.199545259099456,0.199545259099456,Increased_only,0.00306361806510276
IST1,2,1,0,0.00297308758673844,0.123344476914388,0.123344476914388,Increased_only,0.00310231623152334
TBCCD1,2,2,1,0.0031009007245705,0.609730908749667,0.520056823565914,Mixed,0.00322742655989438
ANGPT2,5,1,1,0.0031009007245705,0.679447448270636,0.679447448270636,Increased_only,0.00324234927410757
OTUD7B,8,1,1,0.0031009007245705,1.6328384712228,1.6328384712228,Decreased_only,0.00329154178617585
FGFRL1,2,1,1,0.00328120592872589,0.517365138468286,0.517365138468286,Increased_only,0.00341240677856565
SLC25A25,2,1,0,0.00331694886857195,0.0621317453217571,0.0621317453217571,Decreased_only,0.00347416368914184
TBC1D23,3,1,0,0.00331694886857195,0.274947264248662,0.274947264248662,Increased_only,0.00348899293093046
TRAF4,2,1,0,0.00331694886857195,0.213100054047723,0.213100054047723,Increased_only,0.00349084111390552
ESYT1,2,1,1,0.00331694886857195,0.711741292021552,0.711741292021552,Decreased_only,0.00350474782436915
ZFC3H1,3,1,1,0.00331694886857195,0.608907295132862,0.608907295132862,Decreased_only,0.00352105963941887
NUBP1,2,1,1,0.00337449336090751,0.799186849029555,0.799186849029555,Increased_only,0.00354315672277428
PIGP,2,1,0,0.00337449336090751,0.162106992625192,0.162106992625192,Decreased_only,0.00356591653185274
KLHDC10,5,1,1,0.00331694886857195,1.82683378675615,1.82683378675615,Increased_only,0.00357114107153179
C3orf52,2,1,0,0.00331694886857195,0.247127556937676,0.247127556937676,Decreased_only,0.00362594915843258
SLC23A2,3,1,1,0.00347233216747555,0.716682877144027,0.716682877144027,Decreased_only,0.00364303671040747
RNPS1,2,2,0,0.00331694886857195,0.347469684646667,0.254464195631835,Mixed,0.0036631749819327
DMWD,4,1,1,0.00367946319172697,2.45334572826612,2.45334572826612,Decreased_only,0.00385742664700169
TBPL1,4,1,0,0.00390750182843597,0.17405611498039,0.17405611498039,Decreased_only,0.00409348742264323
NUDT9,2,1,1,0.00393369741807936,1.14380413764699,1.14380413764699,Increased_only,0.00411800115068958
SIL1,2,2,0,0.00425982770173701,0.213046980241519,0.166912154728822,Mixed,0.00445633007265038
ZFX,5,1,1,0.00487689411718982,2.59969712159831,2.59969712159831,Increased_only,0.00509512094373716
OARD1,2,1,1,0.00487689411718982,4.25036551951185,4.25036551951185,Increased_only,0.00511184285775781
CCT4,2,1,1,0.00615143508824404,0.524193287372455,0.524193287372455,Increased_only,0.0065027047472581
EXOSC2,5,1,0,0.00615143508824404,0.305241602918608,0.305241602918608,Increased_only,0.00653361788758298
ZMYM6,2,1,0,0.00615143508824404,0.245623409978309,0.245623409978309,Decreased_only,0.00659526235538597
ICAM1,3,1,0,0.00630660747200054,0.450037710916143,0.450037710916143,Increased_only,0.00665191209946037
CDC16,2,1,1,0.00630660747200054,0.670491084512115,0.670491084512115,Increased_only,0.00666660977692436
POGLUT3,2,1,0,0.00630660747200054,0.159833244597328,0.159833244597328,Decreased_only,0.00666846753441231
URM1,2,1,0,0.00641002000265571,0.495208739176961,0.495208739176961,Decreased_only,0.00684284743595932
TSPAN17,2,1,0,0.00660505317396471,0.20472728185622,0.20472728185622,Increased_only,0.00704508706862743
LZTR1,2,1,0,0.00674708045619613,0.00473549172791987,0.00473549172791987,Decreased_only,0.00719064748633473
CSTF2,2,1,0,0.00696149843021876,0.332498813641933,0.332498813641933,Decreased_only,0.00741319936236698
HSD17B11,2,1,1,0.00709446086516257,0.530202977613108,0.530202977613108,Increased_only,0.00754887221603547
UBE2D1,2,2,0,0.00729214445428729,0.182990253616572,0.130640549467388,Mixed,0.00775328605069315
AKAP11,2,1,1,0.00731861055517564,0.987772888448291,0.987772888448291,Increased_only,0.00777563002874421
POC1A,2,1,0,0.00776216804332193,0.472355316459732,0.472355316459732,Decreased_only,0.00824086648327823
BOP1,2,1,0,0.00784774533206515,0.282262744480102,0.282262744480102,Increased_only,0.0083258037335081
SRGAP1,2,2,0,0.00837599357478788,0.328268599653005,0.297811483588446,Mixed,0.00888003877796007
TMBIM1,2,1,0,0.00874860574765865,0.0353419266615944,0.0353419266615944,Increased_only,0.00926263602894677
SNRPC,2,1,0,0.00874860574765865,0.114807793835059,0.114807793835059,Increased_only,0.00931996025850317
BCKDK,3,1,0,0.00882681423220625,0.459467134325822,0.459467134325822,Decreased_only,0.00933939054123312
DNAJC2,3,1,0,0.00887310794374939,0.234582673021018,0.234582673021018,Decreased_only,0.00938243330443127
NCS1,7,1,0,0.00910953672593666,0.0260633047241168,0.0260633047241168,Increased_only,0.00962063795602729
NRN1,2,1,0,0.00910953672593666,0.472659005371921,0.472659005371921,Decreased_only,0.00971096754931536
UPF1,2,1,0,0.00932546190380826,0.192427062608697,0.192427062608697,Decreased_only,0.00983713315255162
PHLDB1,2,1,0,0.00940516325512383,0.296993250580284,0.296993250580284,Decreased_only,0.00991557718322106
CPSF4,2,1,0,0.00932546190380826,0.259542686846958,0.259542686846958,Increased_only,0.0099331948600465
MED17,2,1,0,0.00943091678598635,0.244621996950376,0.244621996950376,Increased_only,0.00993720781984215
MARCHF6,10,1,1,0.00944956399500215,2.56945909252643,2.56945909252643,Increased_only,0.00994095658591091
BICD2,2,1,0,0.00944956399500215,0.0990376736765075,0.0990376736765075,Decreased_only,0.0100230811872564
ARPC3,2,1,1,0.00944956399500215,0.651242221419432,0.651242221419432,Decreased_only,0.0100391805304943
SECISBP2,3,1,1,0.00963656022712241,0.714071956261745,0.714071956261745,Increased_only,0.0101324795352615
