groupID,n_PAS,n_sig,n_big,min_padj,max_absL2FC,mean_absL2FC,dir_consensus,perGeneQ
CAPN1,2,1,0,0.00294732733475297,0.148069390329169,0.148069390329169,Shortened_only,0.00294732658219199
GNPDA1,2,1,1,0.00522595634847254,1.45660723438793,1.45660723438793,Shortened_only,0.00522595161308376
FGFRL1,2,0,0,0.109026890562697,NA,NA,NA,0.109022768068605
TRAF4,2,0,0,0.109026890562697,NA,NA,NA,0.138308802894623
AKAP11,2,0,0,0.244730075748413,NA,NA,NA,0.244704112866431
CDC16,2,0,0,0.271993150402714,NA,NA,NA,0.271954667957897
DOCK7,2,0,0,0.403448651889851,NA,NA,NA,0.416587271909458
HBEGF,2,0,0,0.403448651889851,NA,NA,NA,0.426912086417737
ENGASE,2,0,0,0.403448651889851,NA,NA,NA,0.430782719725944
ERLIN1,3,0,0,0.403448651889851,NA,NA,NA,0.440269000184278
RPL27A,7,0,0,0.403448651889851,NA,NA,NA,0.445365297261811
TMUB2,2,0,0,0.403448651889851,NA,NA,NA,0.450785910117108
MAPK8,4,0,0,0.403448651889851,NA,NA,NA,0.453794563194162
BIN3,2,0,0,0.430825679434996,NA,NA,NA,0.454437865759828
NDUFB6,3,0,0,0.403448651889851,NA,NA,NA,0.454809663813239
MRPL49,2,0,0,0.451949998781419,NA,NA,NA,0.47536423333585
EPHA5,3,0,0,0.403448651889851,NA,NA,NA,0.477777172451931
GALNT7,2,0,0,0.464479574709907,NA,NA,NA,0.502659778658428
INPP4A,3,0,0,0.403448651889851,NA,NA,NA,0.517025715068042
NUDT9,2,0,0,0.464479574709907,NA,NA,NA,0.517698280000955
TBC1D23,2,0,0,0.464479574709907,NA,NA,NA,0.520290416607487
ZNF275,3,0,0,0.464479574709907,NA,NA,NA,0.53384438301412
TAF5,2,0,0,0.464479574709907,NA,NA,NA,0.534510069187908
BAG2,4,0,0,0.403448651889851,NA,NA,NA,0.556862049503206
CENPS-CORT,2,0,0,0.516515642784683,NA,NA,NA,0.55716304010017
NUBP1,2,0,0,0.592599219121289,NA,NA,NA,0.637266722873442
ARHGAP29,12,0,0,0.618881641142704,NA,NA,NA,0.663691645334213
PLPP4,3,0,0,0.771049397952993,NA,NA,NA,0.824470208305611
CCT4,2,0,0,0.84638705092523,NA,NA,NA,0.90270413973302
NUBPL,2,0,0,0.85539049587391,NA,NA,NA,0.925696773057938
DECR1,3,0,0,0.856731212296747,NA,NA,NA,0.929768488641657
TSPAN3,5,0,0,0.85539049587391,NA,NA,NA,0.930726620248331
KIF5B,5,0,0,0.856731212296747,NA,NA,NA,0.934266433827452
NGLY1,2,0,0,0.85539049587391,NA,NA,NA,0.945638498731234
ADAMTS7,2,0,0,1,NA,NA,NA,0.99998656914798
ARPC3,2,0,0,0.925867891226513,NA,NA,NA,1
CMTM8,2,0,0,0.925867891226513,NA,NA,NA,1
NUP98,2,0,0,0.925867891226513,NA,NA,NA,1
SLC9B2,2,0,0,0.925867891226513,NA,NA,NA,1
RRP8,2,0,0,0.927248341341599,NA,NA,NA,1
ZNF777,2,0,0,0.951896569073972,NA,NA,NA,1
VPS53,6,0,0,0.960284850627777,NA,NA,NA,1
MEAK7,6,0,0,0.978633537510282,NA,NA,NA,1
NEMF,6,0,0,0.97907133714516,NA,NA,NA,1
AACS,2,0,0,1,NA,NA,NA,1
AAGAB,4,0,0,1,NA,NA,NA,1
AAK1,2,0,0,1,NA,NA,NA,1
AARS1,2,0,0,1,NA,NA,NA,1
AARS2,4,0,0,1,NA,NA,NA,1
AASDHPPT,3,0,0,1,NA,NA,NA,1
AASS,3,0,0,1,NA,NA,NA,1
ABAT,2,0,0,1,NA,NA,NA,1
ABCA1,2,0,0,1,NA,NA,NA,1
ABCA5,2,0,0,1,NA,NA,NA,1
ABCB7,2,0,0,1,NA,NA,NA,1
ABCB8,2,0,0,1,NA,NA,NA,1
ABCC4,2,0,0,1,NA,NA,NA,1
ABCD3,3,0,0,1,NA,NA,NA,1
ABCE1,7,0,0,1,NA,NA,NA,1
ABCF2,4,0,0,1,NA,NA,NA,1
ABCG1,2,0,0,1,NA,NA,NA,1
ABHD10,2,0,0,1,NA,NA,NA,1
