groupID,n_PAS,n_sig,n_big,min_padj,max_absL2FC,mean_absL2FC,dir_consensus,perGeneQ
DMAC1,4,1,0,6.280625975547e-05,0.132178988179005,0.132178988179005,Lengthened_only,6.28062585729672e-05
LASP1,2,1,0,6.280625975547e-05,0.0176165458252022,0.0176165458252022,Lengthened_only,8.9044261517901e-05
HBEGF,2,1,0,0.00013635794586884,0.147674193723052,0.147674193723052,Lengthened_only,0.000136357936870687
LIFR,3,2,0,0.00013635794586884,0.255058145429933,0.253284419269373,Shortened_only,0.000149755589972012
ACBD5,3,1,0,0.00013635794586884,0.0722369761702479,0.0722369761702479,Shortened_only,0.000167537167531558
PCNX4,5,1,1,0.00013635794586884,0.628942192961468,0.628942192961468,Shortened_only,0.000179024449829535
DKC1,2,2,0,0.000235272623227039,0.42613800666863,0.2946709290849,Mixed,0.000235272587089955
SLC35D2,2,1,0,0.000235272623227039,0.0038008254301598,0.0038008254301598,Shortened_only,0.000258165058427811
CAPN1,2,1,0,0.000307276498520126,0.128755618279396,0.128755618279396,Shortened_only,0.000307276429396948
SH3BP2,3,1,0,0.000332689285457357,0.295515651868595,0.295515651868595,Shortened_only,0.000332689195308289
FNBP1L,2,2,1,0.000362248190980298,0.613435058414924,0.441092555131986,Mixed,0.000362248052134584
NBEA,2,2,1,0.000362248190980298,0.515326922099595,0.452864495530387,Mixed,0.000365766214250107
CENPS-CORT,2,2,2,0.000362248190980298,3.84869640108214,2.57234763166451,Mixed,0.000370077320249027
TMEM254,2,2,0,0.000417359866399108,0.39780326178054,0.336096937087068,Mixed,0.000417359653754201
COX7B,2,1,0,0.000417359866399108,0.00751959397164192,0.00751959397164192,Shortened_only,0.000438682920462603
SH3BP1,2,2,1,0.000548672843157942,0.598875308299536,0.496860571900789,Mixed,0.000548672426626197
HMGXB4,2,1,0,0.000548672843157942,0.442569146844226,0.442569146844226,Lengthened_only,0.000550865807561002
LAPTM4A,2,1,0,0.000622384003337874,0.10814856168915,0.10814856168915,Lengthened_only,0.000622383404284689
GATB,2,1,0,0.000622384003337874,0.131187280817587,0.131187280817587,Shortened_only,0.000641455844944165
EMC4,2,1,0,0.000715354869359449,0.270131532926055,0.270131532926055,Lengthened_only,0.000715354036367322
AKIRIN2,4,1,0,0.000781019664597637,0.358115174899558,0.358115174899558,Lengthened_only,0.000781018572387644
TRMT10C,3,2,0,0.000781019664597637,0.197857777782835,0.128270943057292,Shortened_only,0.000804005098561917
EIF3E,2,1,0,0.000889643786369474,0.0391546896513937,0.0391546896513937,Shortened_only,0.000889642240381669
