groupID,n_PAS,n_sig,n_big,min_padj,max_absL2FC,mean_absL2FC,dir_consensus,perGeneQ
OARD1,2,1,1,0.000752242984475086,4.04637634995889,4.04637634995889,Shortened_only,0.000752242938263481
CAPN1,2,1,0,0.00188653423218085,0.208655727279588,0.208655727279588,Shortened_only,0.00188653364788477
TRAF4,2,1,0,0.00389776373594844,0.245410755519788,0.245410755519788,Shortened_only,0.00389775999534995
CDC16,2,1,1,0.00424975352692271,0.749204461619616,0.749204461619616,Shortened_only,0.00424974759828542
MRPL49,2,1,1,0.00864586830121459,0.8038192424125,0.8038192424125,Lengthened_only,0.00864583762928202
ARHGAP29,14,1,1,0.0129652595024276,5.32973983855672,5.32973983855672,Lengthened_only,0.0129651767335823
VPS53,6,1,1,0.0132133625390073,6.3645227592488,6.3645227592488,Lengthened_only,0.0132132622447178
AKAP11,2,1,1,0.015340493237586,1.10154770174231,1.10154770174231,Shortened_only,0.0153403387407267
NUDT9,2,1,1,0.021278287572516,1.35771211244663,1.35771211244663,Shortened_only,0.0212779160187381
NUBP1,2,1,1,0.021278287572516,1.11749026591315,1.11749026591315,Shortened_only,0.0231515075703387
TMEM154,7,1,1,0.0256739480127677,5.6526396200415,5.6526396200415,Lengthened_only,0.0256733530028812
NEMF,7,1,1,0.0299659966662343,5.44528009922828,5.44528009922828,Lengthened_only,0.0299650387141738
CCNF,2,1,1,0.0299659966662343,1.09778944444057,1.09778944444057,Shortened_only,0.0300093120277876
NGLY1,2,1,1,0.0304526698703774,1.1098017324039,1.1098017324039,Lengthened_only,0.0304516044508844
ARHGEF15,2,1,1,0.0484057925283248,0.50259006410848,0.50259006410848,Shortened_only,0.0484029083730131
ISYNA1,2,0,0,0.0628000380005616,NA,NA,NA,0.062794859976883
OGFOD3,8,0,0,0.06808511129402,NA,NA,NA,0.0680786447413664
RNF44,3,0,0,0.0815443267358621,NA,NA,NA,0.081534505409179
ZNF275,3,0,0,0.0977335084667075,NA,NA,NA,0.0977162660135455
WIPF1,3,0,0,0.0977335084667075,NA,NA,NA,0.100343009204609
ERLIN1,3,0,0,0.0977335084667075,NA,NA,NA,0.100977305582877
PABIR2,4,0,0,0.0977335084667075,NA,NA,NA,0.102125347470911
STX16,6,0,0,0.122336646104145,NA,NA,NA,0.122308403145585
SMYD4,2,0,0,0.141295387104615,NA,NA,NA,0.141256075672783
SS18,5,0,0,0.145947541316695,NA,NA,NA,0.145903851784534
TIMM9,3,0,0,0.148163472370237,NA,NA,NA,0.148116645700555
ITGA4,6,0,0,0.155387264480883,NA,NA,NA,0.155323879788716
GLCCI1,2,0,0,0.155387264480883,NA,NA,NA,0.156899275944661
PLPP4,3,0,0,0.155387264480883,NA,NA,NA,0.157146516226063
GABPA,2,0,0,0.155387264480883,NA,NA,NA,0.159637271484406
ARPC5L,5,0,0,0.155387264480883,NA,NA,NA,0.160210137836257
MPZL2,6,0,0,0.155387264480883,NA,NA,NA,0.16460548206084
SLK,7,0,0,0.175600331582191,NA,NA,NA,0.180673914207453
EIF4E,5,0,0,0.177148361952927,NA,NA,NA,0.181971261507507
DLAT,7,0,0,0.177148361952927,NA,NA,NA,0.182833584946146
CBLL1,3,0,0,0.175600331582191,NA,NA,NA,0.184092887599246
