groupID,gene,featureID,meanUsage_change,padj,delta_wUTR,delta_RED,max_abs_delta_RED,max_delta_RED_featureID,perGeneQ,dir_consensus,dominant_featureID
PCNX4,PCNX4,chr14_+_60134809,0.0868696337605396,0.000136357945922319,-563.128176639771,1.00707033671019,5.00270214244758,chr14_+_60143392,0.000179024449829535,Increased_only,chr14_+_60134809
CENPS-CORT,CENPS-CORT,chr1_+_10442503,0.325144108059958,0.000362248191070871,-73.4825684215504,4.71138195406801,4.71138195406802,chr1_+_10442729,0.000370077320108094,Mixed,chr1_+_10442503
MSX1,MSX1,chr4_+_4863551,0.230574249849582,0.00185704408075811,-82.0341391747804,1.68013701050904,1.68013701050904,chr4_+_4863551,0.00185819137823266,Mixed,chr4_+_4863551
FAM136A,FAM136A,chr2_-_70295977,0.120168919799011,0.00283989480822173,155.618751139719,1.27143758453002,1.27143758453002,chr2_-_70297272,0.00299883983513071,Mixed,chr2_-_70295977
OTUD7B,OTUD7B,chr1_-_149937813,0.22439080783515,0.0031009007245705,-914.824156226912,-2.17822947210832,2.48058219642791,chr1_-_149942019,0.00329154178617585,Decreased_only,chr1_-_149941263
TBC1D23,TBC1D23,chr3_+_100325234,0.0583631845362546,0.00331694886857195,80.324603310205,1.21573820564702,1.65838137900272,chr3_+_100323845,0.00348899293093046,Increased_only,chr3_+_100325234
NUDT9,NUDT9,chr4_+_87458345,0.141409698370356,0.00393369741807936,-156.823355492724,4.7273975080662,4.7273975080662,chr4_+_87458345,0.00411800115068958,Increased_only,chr4_+_87458345
ZMYM6,ZMYM6,chr1_-_34986982,0.076923076923077,0.00615143508824404,62.6153846153846,-1.04999916862714,1.04999916862714,chr1_-_34986982,0.00659526235538597,Decreased_only,chr1_-_34986982
ICAM1,ICAM1,chr19_+_10286615,0.115931504801683,0.00630660747200054,91.783111775215,1.2719510370822,1.2719510370822,chr19_+_10286615,0.00665191209946037,Increased_only,chr19_+_10286615
AKAP11,AKAP11,chr13_+_42323266,0.163187962394225,0.00731861055517564,584.539281296114,4.29337477988161,4.29337477988161,chr13_+_42319684,0.00777563002874421,Increased_only,chr13_+_42323266
POC1A,POC1A,chr3_-_52075254,0.198172690763052,0.00776216804332193,-104.437008032129,-1.76066214252768,1.76066214252768,chr3_-_52075781,0.00824086648327823,Decreased_only,chr3_-_52075254
SECISBP2,SECISBP2,chr9_+_89359639,0.212622957703606,0.00963656022712241,135.418647976843,2.41279005993153,2.85120254916044,chr9_+_89359011,0.0101324795352615,Increased_only,chr9_+_89359639
CENPA,CENPA,chr2_+_26794592,0.185865858279651,0.00979569980926289,-102.412087912088,-1.67329078688179,1.67329078688179,chr2_+_26794041,0.0105142892888431,Decreased_only,chr2_+_26794592
PROSER2,PROSER2,chr10_+_11870878,0.0779597604468071,0.00979569980926289,-108.909785344189,1.59897432147965,1.59897432147965,chr10_+_11870878,0.0104435743742417,Increased_only,chr10_+_11870878
SLC9B2,SLC9B2,chr4_-_103025497,0.183331573575476,0.0104624103556783,-174.164994896702,3.62279704851863,3.62279704851863,chr4_-_103025497,0.0111209451668254,Increased_only,chr4_-_103025497
HMGCS1,HMGCS1,chr5_-_43289396,0.192494871778487,0.011902908234683,171.49382018891,1.01538648319703,1.71433236823811,chr5_-_43290248,0.0125527763618393,Increased_only,chr5_-_43289396
TM2D3,TM2D3,chr15_-_101641851,0.14517824322897,0.011902908234683,-55.8170794512693,-1.55331098086047,2.06224873602459,chr15_-_101642319,0.0125421694289212,Decreased_only,chr15_-_101641851
ZNF616,ZNF616,chr19_-_52114401,0.218353174603175,0.0120135543353587,289.973015873016,-1.82110245325844,1.82110245325844,chr19_-_52113073,0.0127190159621478,Decreased_only,chr19_-_52114401
TBCCD1,TBCCD1,chr3_-_186546069,0.235335007803325,0.0139209939872354,-64.0111221225045,-1.02229631446951,1.02229631446951,chr3_-_186546341,0.00322742655989438,Mixed,chr3_-_186546341
DHTKD1,DHTKD1,chr10_+_12121218,0.296820347189568,0.0169863814743577,549.214326488164,-2.72466832132651,2.72466832132651,chr10_+_12121218,0.0182172966951634,Decreased_only,chr10_+_12121218
MAPK8,MAPK8,chr10_+_48435877,0.296921550493516,0.0175055204136732,-650.033749502142,1.22195894540029,2.68410298408782,chr10_+_48436728,0.0188384481186307,Increased_only,chr10_+_48436408
APAF1,APAF1,chr12_+_98735432,0.0650520105573669,0.017537365724945,185.528334109611,2.16738998195633,2.16738998195634,chr12_+_98732580,0.0187970248770862,Increased_only,chr12_+_98735432
RNF111,RNF111,chr15_+_59095958,0.177544309146222,0.0192437420807714,-106.729107879363,1.02670043912699,1.02670043912699,chr15_+_59095958,0.0206196238027407,Increased_only,chr15_+_59096431
ERVK3-1,ERVK3-1,chr19_+_58315652,0.215582610627936,0.0195489435271563,-103.755483727956,-2.25554684762201,3.50801831697526,chr19_+_58314792,0.020946242023233,Decreased_only,chr19_+_58315203
ELK4,ELK4,chr1_-_205613031,0.180110920510962,0.0195729224539371,-808.643674535492,1.77839300263285,2.30678588763124,chr1_-_205609723,0.0208708681093712,Increased_only,chr1_-_205607950
FBXL5,FBXL5,chr4_-_15605008,0.137722616402693,0.0196313951962315,65.6936880240844,-1.1446514803683,1.1446514803683,chr4_-_15605008,0.0209264891025785,Decreased_only,chr4_-_15605008
AKAP1,AKAP1,chr17_+_57120569,0.265780294884176,0.0197081330611752,194.96816053396,-1.66288158912952,1.66288158912952,chr17_+_57120569,0.0210177318350529,Decreased_only,chr17_+_57120569
