groupID,featureID,PAS_ID,gene,feature,APA_direction,exonBaseMean,dispersion,stat,pvalue,padj,log2fold_Experimental_v_Control,countData.Control_S1,countData.Control_S2,countData.Experimental_S4,countData.Experimental_S5,genomicData.seqnames,genomicData.start,genomicData.end,genomicData.width,genomicData.strand
EXTL2,chr1_-_100872392,chr1:-:100872392,EXTL2,chr1_-_100872392,Shortened,262.401061286071,0.131692038689112,8.74144856896194,0.00311057318016275,1,0.647977247707301,243,165,326,347,chr1,100872392,100872392,1,-
EXTL2,chr1_-_100872613,chr1:-:100872613,EXTL2,chr1_-_100872613,Lengthened,15.7332684933978,0.726477106205082,2.55923980877469,0.109651297983229,1,-1.88158820171037,29,19,11,1,chr1,100872613,100872613,1,-
DPH5,chr1_-_100989627,chr1:-:100989627,DPH5,chr1_-_100989627,Lengthened,23.6406142170116,0.533684864422829,0.0149757407210274,0.90260171291438,1,-0.00240458554012069,51,15,4,30,chr1,100989627,100989627,1,-
DPH5,chr1_-_100990064,chr1:-:100990064,DPH5,chr1_-_100990064,Shortened,106.896569510066,0.289885759979209,0.0136215833881863,0.907088645794919,1,0.00124424781706978,201,94,61,73,chr1,100990064,100990064,1,-
DFFA,chr1_-_10456524,chr1:-:10456524,DFFA,chr1_-_10456524,Lengthened,105.19607416382,0.166557941191927,0.000421369269318461,0.983622749488916,1,-0.116790894394152,85,100,122,120,chr1,10456524,10456524,1,-
DFFA,chr1_-_10458557,chr1:-:10458557,DFFA,chr1_-_10458557,Lengthened,203.400882528755,0.158495115764904,0.21056700681028,0.646323352475813,1,-0.309373837097255,199,186,251,173,chr1,10458557,10458557,1,-
DFFA,chr1_-_10458871,chr1:-:10458871,DFFA,chr1_-_10458871,Lengthened,36.6916467093289,0.353115420073389,0.00231715388466114,0.961607198405416,1,-0.0883367557083616,28,36,21,75,chr1,10458871,10458871,1,-
DFFA,chr1_-_10459923,chr1:-:10459923,DFFA,chr1_-_10459923,Lengthened,90.2053517286927,0.206470323746307,0.236698884965804,0.626600586952067,1,-0.563753553380791,123,65,63,128,chr1,10459923,10459923,1,-
DFFA,chr1_-_10460928,chr1:-:10460928,DFFA,chr1_-_10460928,Shortened,101.729089150719,0.240862237632338,0.992077054647467,0.319235253537646,1,0.778720569712558,48,74,83,248,chr1,10460928,10460928,1,-
DFFA,chr1_-_10461228,chr1:-:10461228,DFFA,chr1_-_10461228,Lengthened,64.2883560113719,0.720575300334504,2.23342978630745,0.13505376069786,1,-1.42056501596058,103,65,73,1,chr1,10461228,10461228,1,-
CLCC1,chr1_-_108929939,chr1:-:108929939,CLCC1,chr1_-_108929939,Shortened,121.606079694926,0.183244269512608,0.451316139027469,0.501710602717028,1,0.494474320201988,71,93,128,228,chr1,108929939,108929939,1,-
CLCC1,chr1_-_108931796,chr1:-:108931796,CLCC1,chr1_-_108931796,Lengthened,34.901637391539,0.312628696452791,2.66362310775067,0.102666636484297,1,-1.49407150246562,56,36,24,23,chr1,108931796,108931796,1,-
CLCC1,chr1_-_108932298,chr1:-:108932298,CLCC1,chr1_-_108932298,Shortened,65.4841820250444,0.206441041364702,0.0702574027333043,0.790962370256077,1,0.348247341349908,55,40,78,101,chr1,108932298,108932298,1,-
